admin@boson:~# echo 1 > /sys/kernel/debug/tracing/events/enable
admin@boson:~# echo 1 > /sys/kernel/debug/tracing/tracing_on
admin@boson:~# 
admin@boson:~# ./fbomb
** 49677 printk messages dropped ** [ 1741.711577] f_booste-2073    1....... 1740852747us : sys_exit: NR 186 = 2073
[ 1741.711593] f_booste-2073    1....1.. 1740852748us : sys_gettid -> 0x819
[ 1741.711610] f_booste-2073    1....... 1740852751us : sys_enter: NR 230 (1, 0, 7fd1a6021f30, 0, 0, 0)
[ 1741.711629] f_booste-2073    1....1.. 1740852752us : sys_clock_nanosleep(which_clock: 1, flags: 0, rqtp: 7fd1a6021f30, rmtp: 0)
[ 1741.711647] f_booste-2073    1....... 1740852753us : hrtimer_init: hrtimer=ffffc90004f83e30 clockid=CLOCK_MONOTONIC mode=REL
[ 1741.711664] f_booste-2073    1d...1.. 1740852755us : lock_acquire: ffff880038912e58 hrtimer_bases.lock
[ 1741.711680] f_booste-2073    1d...1.. 1740852756us : lock_acquire: ffffffff81c67b48 read tk_core.seq
[ 1741.711697] f_booste-2073    1d...1.. 1740852757us : lock_release: ffffffff81c67b48 tk_core.seq
[ 1741.711717] f_booste-2073    1d...1.. 1740852759us : hrtimer_start: hrtimer=ffffc90004f83e30 function=hrtimer_wakeup expires=1740416051579 softexpires=1740416001579
[ 1741.711735] f_booste-2073    1d...1.. 1740852760us : lock_acquire: ffffffff81c67b48 read tk_core.seq
[ 1741.711751] f_booste-2073    1d...1.. 1740852761us : lock_release: ffffffff81c67b48 tk_core.seq
[ 1741.711768] f_booste-2073    1d...1.. 1740852762us : write_msr: 6e0, value 22350352fbe
[ 1741.711784] f_booste-2073    1d...1.. 1740852763us : lock_release: ffff880038912e58 hrtimer_bases.lock
[ 1741.711801] f_booste-2073    1d...1.. 1740852765us : rcu_utilization: Start context switch
[ 1741.711817] f_booste-2073    1d...1.. 1740852766us : rcu_utilization: End context switch
[ 1741.711833] f_booste-2073    1d...2.. 1740852767us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.711851] f_booste-2073    1d...2.. 1740852770us : sched_stat_runtime: comm=f_boosted pid=2073 runtime=40368 [ns] vruntime=26864210713 [ns]
[ 1741.711868] f_booste-2073    1d...2.. 1740852771us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.711885] f_booste-2073    1d...2.. 1740852773us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.711904] f_booste-2073    1d...2.. 1740852776us : sched_switch: prev_comm=f_boosted prev_pid=2073 prev_prio=120 prev_state=S ==> next_comm=f_waker next_pid=2070 next_prio=120
[ 1741.711921] f_booste-2073    1d...2.. 1740852777us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.711940] f_booste-2073    1d...2.. 1740852779us : x86_fpu_regs_deactivated: x86/fpu: ffff8800362ed2c0 fpregs_active: 0 fpstate_active: 1 xfeatures: f81e66000e0020 xcomp_bv: ffffffff81c62740
[ 1741.711959] f_booste-2073    1d...2.. 1740852780us : x86_fpu_regs_activated: x86/fpu: ffff880035e37d40 fpregs_active: 1 fpstate_active: 1 xfeatures: 6765000074725f66 xcomp_bv: 79747465
[ 1741.711977] f_booste-2073    1d...2.. 1740852781us : x86_fpu_regs_activated: x86/fpu: ffff880035e37d40 fpregs_active: 1 fpstate_active: 1 xfeatures: c32b00000078 xcomp_bv: 81802010106
[ 1741.711994] f_booste-2073    1d...2.. 1740852782us : write_msr: c0000100, value 7fd1a69fd700
[ 1741.712011]  f_waker-2070    1d...2.. 1740852783us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.712028]  f_waker-2070    1d...2.. 1740852784us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.712044]  f_waker-2070    1....... 1740852786us : sys_exit: NR 202 = 0
[ 1741.712060]  f_waker-2070    1....1.. 1740852787us : sys_futex -> 0x0
[ 1741.712079]  f_waker-2070    1....... 1740852790us : sys_enter: NR 230 (1, 0, 7fd1a69fcf30, 0, 0, 55f32b7890e0)
[ 1741.712097]  f_waker-2070    1....1.. 1740852791us : sys_clock_nanosleep(which_clock: 1, flags: 0, rqtp: 7fd1a69fcf30, rmtp: 0)
[ 1741.712115]  f_waker-2070    1....... 1740852792us : hrtimer_init: hrtimer=ffffc90004f6be30 clockid=CLOCK_MONOTONIC mode=REL
[ 1741.712132]  f_waker-2070    1d...1.. 1740852794us : lock_acquire: ffff880038912e58 hrtimer_bases.lock
[ 1741.712149]  f_waker-2070    1d...1.. 1740852795us : lock_acquire: ffffffff81c67b48 read tk_core.seq
[ 1741.712165]  f_waker-2070    1d...1.. 1740852797us : lock_release: ffffffff81c67b48 tk_core.seq
[ 1741.712186]  f_waker-2070    1d...1.. 1740852798us : hrtimer_start: hrtimer=ffffc90004f6be30 function=hrtimer_wakeup expires=1740415990834 softexpires=1740415940834
[ 1741.712203]  f_waker-2070    1d...1.. 1740852799us : lock_acquire: ffffffff81c67b48 read tk_core.seq
[ 1741.712220]  f_waker-2070    1d...1.. 1740852800us : lock_release: ffffffff81c67b48 tk_core.seq
[ 1741.712237]  f_waker-2070    1d...1.. 1740852802us : write_msr: 6e0, value 2235033f35e
[ 1741.712254]  f_waker-2070    1d...1.. 1740852803us : lock_release: ffff880038912e58 hrtimer_bases.lock
[ 1741.712270]  f_waker-2070    1d...1.. 1740852804us : rcu_utilization: Start context switch
[ 1741.712286]  f_waker-2070    1d...1.. 1740852805us : rcu_utilization: End context switch
[ 1741.712303]  f_waker-2070    1d...2.. 1740852806us : lock_acquire: ffff8800389179d8 &rq->lock
[ 1741.712321]  f_waker-2070    1d...2.. 1740852808us : sched_stat_runtime: comm=f_waker pid=2070 runtime=38672 [ns] vruntime=26864210372 [ns]
[ 1741.712338]  f_waker-2070    1d...2.. 1740852809us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.712355]  f_waker-2070    1d...2.. 1740852811us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.712372]  f_waker-2070    1d...2.. 1740852813us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.712388]  f_waker-2070    1d...2.. 1740852815us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.712405]  f_waker-2070    1d...2.. 1740852816us : lock_acquire: ffffffff81c62740 read rcu_read_lock
[ 1741.712422]  f_waker-2070    1d...2.. 1740852818us : lock_release: ffffffff81c62740 rcu_read_lock
[ 1741.712442]  f_waker-2070    1d...2.. 1740852819us : sched_switch: prev_comm=f_waker prev_pid=2070 prev_prio=120 prev_state=S ==> next_comm=swapper/1 next_pid=0 next_prio=120
[ 1741.712458]  f_waker-2070    1d...2.. 1740852820us : lock_release: ffff8800389179d8 &rq->lock
[ 1741.712477]  f_waker-2070    1d...2.. 1740852822us : x86_fpu_regs_deactivated: x86/fpu: ffff880035e37d40 fpregs_active: 0 fpstate_active: 1 xfeatures: ba00000000 xcomp_bv: 2b7890c400000000
